word,SUBTLwf,nLet,nSyll,nPhon,coltNOrth,coltNPhon,old20,pld20,posBigram,isHomograph,isHomophone,WNsensecount
leopard,5.41176470588235,7,2,5,1,2,2.65,1.6,113,0,0,2
leper,1.23529411764706,5,2,4,1,7,1.85,1.7,162,0,0,2
lesbian,9.50980392156863,7,3,7,0,0,2.75,3,137,0,0,3
lesbians,2.70588235294118,8,3,8,0,0,2.85,3.55,132,0,0,2
less,111.098039215686,4,1,3,10,22,1.55,1.15,59,0,1,6
lesser,2.68627450980392,6,2,4,1,7,1.9,1.7,446,0,0,5
lesson,32.2352941176471,6,2,5,0,3,2,1.65,176,0,0,4
lessons,15.1372549019608,7,2,6,1,2,2.4,1.75,220,0,0,4
lest,1.96078431372549,4,1,4,16,24,1.05,1,70,0,0,1
let,2419.23529411765,3,1,3,19,23,1,1,19,0,0,8
lethal,5.66666666666667,6,2,5,0,1,2.65,2.1,124,0,0,1
lets,18,4,1,4,11,12,1.4,1.5,69,0,0,8
letter,82.6078431372549,6,2,4,4,13,1.65,1,505,0,0,8
letterman,1.25490196078431,9,3,7,0,0,3.15,2.9,150,0,0,1
letters,37.4509803921569,7,2,5,0,1,1.85,1.55,380,0,0,10
letting,39.1176470588235,7,2,5,4,6,1.65,1.1,900,0,0,7
lettuce,3.3921568627451,7,2,5,0,1,2.9,1.8,149,0,0,3
leukemia,1.90196078431373,8,4,7,0,0,4.3,3.7,51,0,0,1
level,51.6274509803922,5,2,5,1,1,1.75,1.65,100,0,0,19
levels,10.3333333333333,6,2,6,0,1,1.8,1.7,139,0,0,14
lever,3.19607843137255,5,2,4,7,11,1.35,1.45,181,1,0,4
leverage,2.72549019607843,8,3,6,1,1,2.65,2.9,184,1,0,5
levy,1.94117647058824,4,2,4,1,4,2,1.75,24,1,0,4
lewd,1.27450980392157,4,1,3,2,26,1.85,1,25,0,0,2
liability,3.09803921568627,9,5,9,0,0,2.55,3.2,163,0,0,3
liable,7.23529411764706,6,3,6,1,2,1.8,1.7,178,0,0,4
liaison,2.72549019607843,7,3,6,0,0,2.9,2.85,133,1,0,2
liar,35.1372549019608,4,2,3,1,18,1.95,1.35,54,0,0,1
